序号,卡牌,技能档,技能(名称：效果),解锁,可升级,升级货币,上限,Lv1,Lv2,Lv3,Lv4,Lv5,升级消耗(2/3/4/5级),说明
8,幻影刺客,稀有,震波(Shockwave)：攻击对周围敌人造成10%溅射伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
8,幻影刺客,史诗,嗜血冲刺(Bloodrush)：击杀目标后增加100%移动速度,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
8,幻影刺客,传奇,镜像分身(Mirror Clone)：每15秒创造两个继承部分攻防的分身,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
9,寒冰巨魔,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
9,寒冰巨魔,普通,翔空(Skyborne)：对地面单位闪避率+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
9,寒冰巨魔,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
9,寒冰巨魔,稀有,尖刺护甲(Spiky Armor)：10%几率反射50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
9,寒冰巨魔,史诗,圣盾庇护(Divine Shield)：生命值低于50%时5%几率完全免疫伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
9,寒冰巨魔,传奇,寒冰冻结(Freeze)：每15秒喷洒冰球，冻结敌人5秒,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
10,重装破城者,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
10,重装破城者,普通,猎兽(Beast-Bane)：对兽族单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
10,重装破城者,稀有,尖刺护甲(Spiky Armor)：10%几率反射50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
10,重装破城者,史诗,圣盾庇护(Divine Shield)：生命值低于50%时5%几率完全免疫伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
10,重装破城者,传奇,狂暴超载(Overdrive)：每15秒增加攻速与移速400%，持续5秒,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
11,机械飞鹰,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
11,机械飞鹰,普通,翔空(Skyborne)：对地面单位闪避率+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
11,机械飞鹰,普通,猎兽(Beast-Bane)：对兽族单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
11,机械飞鹰,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
11,机械飞鹰,史诗,处决(Execute)：5%几率对目标当前生命值造成50%伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
11,机械飞鹰,传奇,万箭齐发(Barrage)：每15秒同时攻击范围内所有敌人，持续5秒,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
12,巨斧酋长,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
12,巨斧酋长,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
12,巨斧酋长,稀有,电击(Zap)：5%几率眩晕敌人1秒,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
12,巨斧酋长,史诗,狂暴(Rage)：每次攻击增加自身攻击力1%，最多叠加10次,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
12,巨斧酋长,传奇,腐蚀光环(Poison Aura)：附近敌人每秒受伤，友军亡灵每2秒回复10%生命,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
13,双头奇美拉,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
13,双头奇美拉,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
13,双头奇美拉,稀有,狂暴(Rage)：每次攻击增加自身攻击力1%，最多叠加10次,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
13,双头奇美拉,史诗,圣盾庇护(Divine Shield)：生命值低于50%时5%几率完全免疫伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
13,双头奇美拉,传奇,地震(Earthquake)：每15秒造成大范围地震，对周围敌人造成伤害并昏迷3秒,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
14,爆破鬼才,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
14,爆破鬼才,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
14,爆破鬼才,稀有,电击(Zap)：5%几率眩晕敌人1秒,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
14,爆破鬼才,史诗,狂暴(Rage)：每次攻击增加自身攻击力1%，最多叠加10次,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
14,爆破鬼才,传奇,烈焰冲拳(Flame Fist)：每15秒传送到敌人面前打出火焰拳，对范围敌人造成伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
15,藤蔓萨满,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
15,藤蔓萨满,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
15,藤蔓萨满,稀有,冰缚(Frostbite)：对攻击目标造成20%减速,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
15,藤蔓萨满,史诗,治愈光环(Heal Aura)：每5秒恢复1米内盟友5%生命值,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
15,藤蔓萨满,传奇,生命之泉(Life Spring)：每15秒为生命最低友军恢复自身25%生命并提升其移速10%,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
16,鹰女,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
16,鹰女,普通,翔空(Skyborne)：对地面单位闪避率+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
16,鹰女,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
16,鹰女,稀有,电击(Zap)：5%几率眩晕敌人1秒,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
16,鹰女,史诗,狂暴(Rage)：每次攻击增加自身攻击力1%，最多叠加10次,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
16,鹰女,传奇,石化(Petrify)：增加伤害减免率10%,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
17,巨石魔像,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
17,巨石魔像,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
17,巨石魔像,稀有,尖刺护甲(Spiky Armor)：10%几率反射50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
17,巨石魔像,史诗,圣盾庇护(Divine Shield)：生命值低于50%时5%几率完全免疫伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
17,巨石魔像,传奇,投石(Boulder Toss)：每20秒向敌人投掷巨石，造成范围伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
18,雇佣兵,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
18,雇佣兵,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
18,雇佣兵,稀有,多重射击(Multishot)：每5次攻击射出一支额外箭矢,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
18,雇佣兵,史诗,强弓(Power Shot)：根据距离对敌人造成额外伤害，最高+50%,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
18,雇佣兵,传奇,致命狙杀(Lethal Snipe)：每20秒狙击2倍射程外的敌人，造成高额点伤,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
19,炮楼,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
19,炮楼,普通,格挡(Deflect)：远程伤害抗性+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
19,炮楼,普通,猎兽(Beast-Bane)：对兽族单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
19,炮楼,稀有,尖刺护甲(Spiky Armor)：10%几率反射50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
19,炮楼,史诗,守护图腾(Aegis Totem)：对周围单位提供5%伤害减免,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
19,炮楼,传奇,火力覆盖(Heavy Ordnance)：爆炸半径+50%,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
20,巨石车,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
20,巨石车,普通,猎兽(Beast-Bane)：对兽族单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
20,巨石车,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
20,巨石车,史诗,背水一战(Last Stand)：生命值低于30%时增加攻击力20%,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
20,巨石车,传奇,蒸汽冲刺(Steam Dash)：移动速度+100%,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
21,骑士,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
21,骑士,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
21,骑士,稀有,嗜血冲刺(Bloodrush)：击杀目标后增加100%移动速度,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
21,骑士,史诗,猎杀标记(Hunter's Mark)：对孤立目标造成额外25%伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
21,骑士,传奇,突进冲锋(Charge)：每20秒向前冲10米，对路径上的敌人造成伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
22,火龙,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
22,火龙,普通,翔空(Skyborne)：对地面单位闪避率+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
22,火龙,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
22,火龙,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
22,火龙,史诗,连击专注(Combo Focus)：连续攻击同一目标时每次命中+5%伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
22,火龙,传奇,爆裂吐息(Explosive Breath)：攻击对周围敌人造成25%爆炸伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
23,弩车,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
23,弩车,普通,猎兽(Beast-Bane)：对兽族单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
23,弩车,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
23,弩车,史诗,强弓(Power Shot)：根据距离对敌人造成额外伤害，最高+50%,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
23,弩车,传奇,蒸汽冲刺(Steam Dash)：移动速度+100%,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
24,骷髅魔导师,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
24,骷髅魔导师,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
24,骷髅魔导师,稀有,冰缚(Frostbite)：对攻击目标造成20%减速,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
24,骷髅魔导师,史诗,治愈光环(Heal Aura)：每5秒恢复1米内盟友5%生命值,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
24,骷髅魔导师,传奇,亡者复生(Reanimate)：每20秒复活1名阵亡的友方单位,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
25,鱼叉捕猎者,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
25,鱼叉捕猎者,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
25,鱼叉捕猎者,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
25,鱼叉捕猎者,史诗,强弓(Power Shot)：根据距离对敌人造成额外伤害，最高+50%,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
25,鱼叉捕猎者,传奇,强力击退(Knockback)：每次攻击25%几率将目标击退1米,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
26,利爪猎犬,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
26,利爪猎犬,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
26,利爪猎犬,稀有,震波(Shockwave)：攻击对周围敌人造成10%溅射伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
26,利爪猎犬,史诗,嗜血冲刺(Bloodrush)：击杀目标后增加100%移动速度,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
26,利爪猎犬,传奇,黄金一击(Gold Strike)：每次攻击掠夺目标2金币,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
27,蝙蝠突袭者,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
27,蝙蝠突袭者,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
27,蝙蝠突袭者,稀有,嗜血冲刺(Bloodrush)：击杀目标后增加100%移动速度,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
27,蝙蝠突袭者,史诗,潜伏(Ambush)：布置后立刻隐身，解除后的首次攻击造成150%伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
27,蝙蝠突袭者,传奇,暗影突袭(Shadow Strike)：每20秒影袭，对2个连续单位造成背刺伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
28,见习女巫,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
28,见习女巫,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
28,见习女巫,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
28,见习女巫,史诗,强弓(Power Shot)：根据距离对敌人造成额外伤害，最高+50%,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
28,见习女巫,传奇,分裂箭(Split Arrow)：攻击发射2支分裂箭,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
29,重步兵,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
29,重步兵,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
29,重步兵,稀有,尖刺护甲(Spiky Armor)：10%几率反射50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
29,重步兵,史诗,圣盾庇护(Divine Shield)：生命值低于50%时5%几率完全免疫伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
29,重步兵,传奇,盾反(Shield Reflect)：15%几率用盾反射远程攻击,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
30,高射塔,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
30,高射塔,普通,格挡(Deflect)：远程伤害抗性+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
30,高射塔,普通,猎兽(Beast-Bane)：对兽族单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
30,高射塔,稀有,尖刺护甲(Spiky Armor)：10%几率反射50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
30,高射塔,史诗,守护图腾(Aegis Totem)：对周围单位提供5%伤害减免,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
